"PSC.0228"	"PSC.0187"	"PSC.0188"	"PSC.0174"	"PSC.0190"	"PSC.0231"	"PSC.0230"	"PSC.0219"	"PSC.0177"	"PSC.0186"	"PSC.0209"	"PSC.0203"
"g5280.t1"	33	47	20	37	7	119	147	53	27	106	32	102
"g7972.t1"	776	954	859	1003	383	589	1182	951	1060	817	1436	682
"g5270.t1"	25	37	0	22	0	0	80	74	47	57	0	48
"g22567.t1"	0	0	0	0	0	0	55	0	0	0	0	0
"g14665.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g20075.t1"	1168	1250	1203	606	1128	1207	1815	681	396	1261	463	987
"g5282.t1"	2235	1802	1728	3136	1479	1796	1725	1576	1649	1999	1808	1342
"g5272.t1"	1677	1036	904	1491	988	1014	753	581	580	637	193	511
"g15022.t1"	19	8	0	25	8	4	340	65	230	311	13	111
"g6869.t1"	6	18	19	7	3	6	49	27	22	26	0	29
"g9061.t1"	169	184	253	184	66	62	606	292	350	260	204	220
"g2452.t1"	600	613	1880	133	203	1121	1608	2677	1183	5889	10454	3537
"g7161.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g4310.t1"	511	480	565	525	621	331	773	520	642	403	634	362
"g18742.t1"	74	78	103	46	42	26	131	157	80	107	118	58
"g8597.t1"	468	1205	394	16	22	272	216	147	34	97	0	202
"g925.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g925.t2"	0	0	0	3	0	0	0	0	0	3	0	0
"g7953.t1"	47	77	36	26	11	19	140	56	51	110	80	57
"g9063.t1"	6	52	16	13	0	8	206	55	66	62	20	76
"g13906.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g19379.t1"	198	164	57	130	357	35	0	5	0	0	0	11
"g11008.t1"	596	505	439	440	521	338	668	424	464	499	768	355
"g2274.t1"	54	83	19	56	23	33	60	66	16	211	159	86
